stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Martin\Documents\Universidad\2208-EDA\TP6\source\DisplayVirtual\Debug\allegro5.cfg r
display  D   display_settings.c:398  _al_score_display_settings       [   0.21519] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.21538] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.21559] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.21578] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.21600] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.21631] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.21653] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.21669] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.21687] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.21702] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.21721] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.21736] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.21752] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.21768] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.21787] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.21805] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.21825] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1678 d3d_create_display_internals     [   0.21845] Trying format 3.
d3d      I         d3d_disp.cpp:1354 d3d_display_thread_proc          [   0.21958] Chose a display format: 23
d3d      I         d3d_disp.cpp:1423 d3d_display_thread_proc          [   0.21976] Normal window.
d3d      I         d3d_disp.cpp:791  d3d_create_device                [   0.46076] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:816  d3d_create_device                [   0.48556] trying D3DCREATE_SOFTWARE_VERTEXPROCESSING
d3d      D         d3d_disp.cpp:821  d3d_create_device                [   0.48594] trying D3DDEVTYPE_REF
d3d      D         d3d_disp.cpp:826  d3d_create_device                [   0.52950] trying D3DDEVTYPE_REF|D3DCREATE_SOFTWARE_VERTEXPROCESSING
d3d      E         d3d_disp.cpp:832  d3d_create_device                [   0.54735] CreateDevice failed: D3DERR_INVALIDCALL
d3d      I         d3d_disp.cpp:911  d3d_destroy_display              [   0.54762] destroying display 00FE70E0 (current 00000000)
d3d      D         d3d_disp.cpp:895  d3d_destroy_display_internals    [   0.54798] waiting for display 00FE70E0's thread to end
d3d      D         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.54820] Resumed after wait.
d3d      I         d3d_disp.cpp:1709 d3d_create_display_internals     [   0.54841] Format 0 failed.
d3d      D         d3d_disp.cpp:1717 d3d_create_display_internals     [   0.55006] d3d_display = 00FE70E0
d3d      D         d3d_disp.cpp:1718 d3d_create_display_internals     [   0.55024] win_display = 00FE70E0
d3d      D         d3d_disp.cpp:1719 d3d_create_display_internals     [   0.55042] al_display  = 00FE70E0
d3d      D         d3d_disp.cpp:1678 d3d_create_display_internals     [   0.55062] Trying format 7.
d3d      I         d3d_disp.cpp:1354 d3d_display_thread_proc          [   0.55256] Chose a display format: 23
d3d      I         d3d_disp.cpp:1423 d3d_display_thread_proc          [   0.55302] Normal window.
d3d      I         d3d_disp.cpp:788  d3d_create_device                [   0.58301] Chose depth stencil format 75
d3d      D         d3d_disp.cpp:816  d3d_create_device                [   0.60549] trying D3DCREATE_SOFTWARE_VERTEXPROCESSING
d3d      D         d3d_disp.cpp:821  d3d_create_device                [   0.60584] trying D3DDEVTYPE_REF
d3d      D         d3d_disp.cpp:826  d3d_create_device                [   0.62800] trying D3DDEVTYPE_REF|D3DCREATE_SOFTWARE_VERTEXPROCESSING
d3d      E         d3d_disp.cpp:832  d3d_create_device                [   0.64710] CreateDevice failed: D3DERR_INVALIDCALL
d3d      I         d3d_disp.cpp:911  d3d_destroy_display              [   0.64733] destroying display 00FE70E0 (current 00000000)
d3d      D         d3d_disp.cpp:895  d3d_destroy_display_internals    [   0.64755] waiting for display 00FE70E0's thread to end
d3d      D         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.64773] Resumed after wait.
d3d      I         d3d_disp.cpp:1709 d3d_create_display_internals     [   0.64792] Format 1 failed.
d3d      D         d3d_disp.cpp:1717 d3d_create_display_internals     [   0.64933] d3d_display = 00FE70E0
d3d      D         d3d_disp.cpp:1718 d3d_create_display_internals     [   0.64952] win_display = 00FE70E0
d3d      D         d3d_disp.cpp:1719 d3d_create_display_internals     [   0.64971] al_display  = 00FE70E0
d3d      D         d3d_disp.cpp:1678 d3d_create_display_internals     [   0.64988] Trying format 11.
d3d      I         d3d_disp.cpp:1354 d3d_display_thread_proc          [   0.65096] Chose a display format: 23
d3d      I         d3d_disp.cpp:1423 d3d_display_thread_proc          [   0.65114] Normal window.
d3d      I         d3d_disp.cpp:788  d3d_create_device                [   0.67421] Chose depth stencil format 77
d3d      D         d3d_disp.cpp:816  d3d_create_device                [   0.69488] trying D3DCREATE_SOFTWARE_VERTEXPROCESSING
d3d      D         d3d_disp.cpp:821  d3d_create_device                [   0.69519] trying D3DDEVTYPE_REF
d3d      D         d3d_disp.cpp:826  d3d_create_device                [   0.71358] trying D3DDEVTYPE_REF|D3DCREATE_SOFTWARE_VERTEXPROCESSING
d3d      E         d3d_disp.cpp:832  d3d_create_device                [   0.73397] CreateDevice failed: D3DERR_INVALIDCALL
d3d      I         d3d_disp.cpp:911  d3d_destroy_display              [   0.73422] destroying display 00FE70E0 (current 00000000)
d3d      D         d3d_disp.cpp:895  d3d_destroy_display_internals    [   0.73444] waiting for display 00FE70E0's thread to end
d3d      D         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.73464] Resumed after wait.
d3d      I         d3d_disp.cpp:1709 d3d_create_display_internals     [   0.73481] Format 2 failed.
d3d      D         d3d_disp.cpp:1717 d3d_create_display_internals     [   0.73593] d3d_display = 00FE70E0
d3d      D         d3d_disp.cpp:1718 d3d_create_display_internals     [   0.73610] win_display = 00FE70E0
d3d      D         d3d_disp.cpp:1719 d3d_create_display_internals     [   0.73627] al_display  = 00FE70E0
d3d      D         d3d_disp.cpp:1678 d3d_create_display_internals     [   0.73646] Trying format 15.
d3d      I         d3d_disp.cpp:1354 d3d_display_thread_proc          [   0.73755] Chose a display format: 23
d3d      I         d3d_disp.cpp:1423 d3d_display_thread_proc          [   0.73776] Normal window.
d3d      I         d3d_disp.cpp:788  d3d_create_device                [   0.76149] Chose depth stencil format 80
d3d      D         d3d_disp.cpp:816  d3d_create_device                [   0.78686] trying D3DCREATE_SOFTWARE_VERTEXPROCESSING
d3d      D         d3d_disp.cpp:821  d3d_create_device                [   0.78732] trying D3DDEVTYPE_REF
d3d      D         d3d_disp.cpp:826  d3d_create_device                [   0.80856] trying D3DDEVTYPE_REF|D3DCREATE_SOFTWARE_VERTEXPROCESSING
d3d      E         d3d_disp.cpp:832  d3d_create_device                [   0.82647] CreateDevice failed: D3DERR_INVALIDCALL
d3d      I         d3d_disp.cpp:911  d3d_destroy_display              [   0.82680] destroying display 00FE70E0 (current 00000000)
d3d      D         d3d_disp.cpp:895  d3d_destroy_display_internals    [   0.82732] waiting for display 00FE70E0's thread to end
d3d      D         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.82764] Resumed after wait.
d3d      I         d3d_disp.cpp:1709 d3d_create_display_internals     [   0.82888] Format 3 failed.
d3d      D         d3d_disp.cpp:1717 d3d_create_display_internals     [   0.83073] d3d_display = 00FE70E0
d3d      D         d3d_disp.cpp:1718 d3d_create_display_internals     [   0.83101] win_display = 00FE70E0
d3d      D         d3d_disp.cpp:1719 d3d_create_display_internals     [   0.83122] al_display  = 00FE70E0
d3d      D         d3d_disp.cpp:1678 d3d_create_display_internals     [   0.83141] Trying format 19.
d3d      I         d3d_disp.cpp:1354 d3d_display_thread_proc          [   0.83269] Chose a display format: 13
d3d      I         d3d_disp.cpp:1423 d3d_display_thread_proc          [   0.83293] Normal window.
d3d      I         d3d_disp.cpp:791  d3d_create_device                [   0.86479] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:816  d3d_create_device                [   0.89304] trying D3DCREATE_SOFTWARE_VERTEXPROCESSING
d3d      D         d3d_disp.cpp:821  d3d_create_device                [   0.89336] trying D3DDEVTYPE_REF
d3d      D         d3d_disp.cpp:826  d3d_create_device                [   0.91689] trying D3DDEVTYPE_REF|D3DCREATE_SOFTWARE_VERTEXPROCESSING
d3d      E         d3d_disp.cpp:832  d3d_create_device                [   0.93976] CreateDevice failed: D3DERR_INVALIDCALL
d3d      I         d3d_disp.cpp:911  d3d_destroy_display              [   0.94001] destroying display 00FE70E0 (current 00000000)
d3d      D         d3d_disp.cpp:895  d3d_destroy_display_internals    [   0.94023] waiting for display 00FE70E0's thread to end
d3d      D         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.94043] Resumed after wait.
d3d      I         d3d_disp.cpp:1709 d3d_create_display_internals     [   0.94063] Format 4 failed.
d3d      D         d3d_disp.cpp:1717 d3d_create_display_internals     [   0.94190] d3d_display = 00FE70E0
d3d      D         d3d_disp.cpp:1718 d3d_create_display_internals     [   0.94209] win_display = 00FE70E0
d3d      D         d3d_disp.cpp:1719 d3d_create_display_internals     [   0.94232] al_display  = 00FE70E0
d3d      D         d3d_disp.cpp:1678 d3d_create_display_internals     [   0.94253] Trying format 23.
d3d      I         d3d_disp.cpp:1354 d3d_display_thread_proc          [   0.94389] Chose a display format: 13
d3d      I         d3d_disp.cpp:1423 d3d_display_thread_proc          [   0.94410] Normal window.
d3d      I         d3d_disp.cpp:788  d3d_create_device                [   0.97284] Chose depth stencil format 75
d3d      D         d3d_disp.cpp:816  d3d_create_device                [   0.99981] trying D3DCREATE_SOFTWARE_VERTEXPROCESSING
d3d      D         d3d_disp.cpp:821  d3d_create_device                [   1.00039] trying D3DDEVTYPE_REF
d3d      D         d3d_disp.cpp:826  d3d_create_device                [   1.02324] trying D3DDEVTYPE_REF|D3DCREATE_SOFTWARE_VERTEXPROCESSING
d3d      E         d3d_disp.cpp:832  d3d_create_device                [   1.04185] CreateDevice failed: D3DERR_INVALIDCALL
d3d      I         d3d_disp.cpp:911  d3d_destroy_display              [   1.04211] destroying display 00FE70E0 (current 00000000)
d3d      D         d3d_disp.cpp:895  d3d_destroy_display_internals    [   1.04236] waiting for display 00FE70E0's thread to end
d3d      D         d3d_disp.cpp:1701 d3d_create_display_internals     [   1.04261] Resumed after wait.
d3d      I         d3d_disp.cpp:1709 d3d_create_display_internals     [   1.04282] Format 5 failed.
d3d      D         d3d_disp.cpp:1717 d3d_create_display_internals     [   1.04419] d3d_display = 00FE70E0
d3d      D         d3d_disp.cpp:1718 d3d_create_display_internals     [   1.04441] win_display = 00FE70E0
d3d      D         d3d_disp.cpp:1719 d3d_create_display_internals     [   1.04461] al_display  = 00FE70E0
d3d      D         d3d_disp.cpp:1678 d3d_create_display_internals     [   1.04479] Trying format 27.
d3d      I         d3d_disp.cpp:1354 d3d_display_thread_proc          [   1.04617] Chose a display format: 13
d3d      I         d3d_disp.cpp:1423 d3d_display_thread_proc          [   1.04645] Normal window.
d3d      I         d3d_disp.cpp:788  d3d_create_device                [   1.07352] Chose depth stencil format 77
d3d      D         d3d_disp.cpp:816  d3d_create_device                [   1.09723] trying D3DCREATE_SOFTWARE_VERTEXPROCESSING
d3d      D         d3d_disp.cpp:821  d3d_create_device                [   1.09763] trying D3DDEVTYPE_REF
d3d      D         d3d_disp.cpp:826  d3d_create_device                [   1.12538] trying D3DDEVTYPE_REF|D3DCREATE_SOFTWARE_VERTEXPROCESSING
d3d      E         d3d_disp.cpp:832  d3d_create_device                [   1.14400] CreateDevice failed: D3DERR_INVALIDCALL
d3d      I         d3d_disp.cpp:911  d3d_destroy_display              [   1.14424] destroying display 00FE70E0 (current 00000000)
d3d      D         d3d_disp.cpp:895  d3d_destroy_display_internals    [   1.14446] waiting for display 00FE70E0's thread to end
d3d      D         d3d_disp.cpp:1701 d3d_create_display_internals     [   1.14467] Resumed after wait.
d3d      I         d3d_disp.cpp:1709 d3d_create_display_internals     [   1.14486] Format 6 failed.
d3d      D         d3d_disp.cpp:1717 d3d_create_display_internals     [   1.14620] d3d_display = 00FE70E0
d3d      D         d3d_disp.cpp:1718 d3d_create_display_internals     [   1.14641] win_display = 00FE70E0
d3d      D         d3d_disp.cpp:1719 d3d_create_display_internals     [   1.14661] al_display  = 00FE70E0
d3d      D         d3d_disp.cpp:1678 d3d_create_display_internals     [   1.14679] Trying format 31.
d3d      I         d3d_disp.cpp:1354 d3d_display_thread_proc          [   1.14806] Chose a display format: 13
d3d      I         d3d_disp.cpp:1423 d3d_display_thread_proc          [   1.14830] Normal window.
d3d      I         d3d_disp.cpp:788  d3d_create_device                [   1.17184] Chose depth stencil format 80
d3d      D         d3d_disp.cpp:816  d3d_create_device                [   1.19920] trying D3DCREATE_SOFTWARE_VERTEXPROCESSING
d3d      D         d3d_disp.cpp:821  d3d_create_device                [   1.20083] trying D3DDEVTYPE_REF
d3d      D         d3d_disp.cpp:826  d3d_create_device                [   1.21971] trying D3DDEVTYPE_REF|D3DCREATE_SOFTWARE_VERTEXPROCESSING
d3d      E         d3d_disp.cpp:832  d3d_create_device                [   1.23816] CreateDevice failed: D3DERR_INVALIDCALL
d3d      I         d3d_disp.cpp:911  d3d_destroy_display              [   1.23839] destroying display 00FE70E0 (current 00000000)
d3d      D         d3d_disp.cpp:895  d3d_destroy_display_internals    [   1.23860] waiting for display 00FE70E0's thread to end
d3d      D         d3d_disp.cpp:1701 d3d_create_display_internals     [   1.23880] Resumed after wait.
d3d      I         d3d_disp.cpp:1709 d3d_create_display_internals     [   1.23898] Format 7 failed.
d3d      D         d3d_disp.cpp:1717 d3d_create_display_internals     [   1.24020] d3d_display = 00FE70E0
d3d      D         d3d_disp.cpp:1718 d3d_create_display_internals     [   1.24039] win_display = 00FE70E0
d3d      D         d3d_disp.cpp:1719 d3d_create_display_internals     [   1.24058] al_display  = 00FE70E0
d3d      D         d3d_disp.cpp:1678 d3d_create_display_internals     [   1.24077] Trying format 2.
d3d      I         d3d_disp.cpp:1354 d3d_display_thread_proc          [   1.24194] Chose a display format: 23
d3d      I         d3d_disp.cpp:1423 d3d_display_thread_proc          [   1.24214] Normal window.
d3d      I         d3d_disp.cpp:791  d3d_create_device                [   1.26698] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:849  d3d_create_device                [   1.33164] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:857  d3d_create_device                [   1.33192] Success
d3d      D         d3d_disp.cpp:1701 d3d_create_display_internals     [   1.33210] Resumed after wait.
d3d      I         d3d_disp.cpp:1734 d3d_create_display_internals     [   1.33231] Format 2 succeeded.
d3d      D         d3d_disp.cpp:1765 d3d_create_display_internals     [   1.33252] Returning d3d_display: 00FE70E0
d3d      D         d3d_disp.cpp:1790 d3d_create_display_locked        [   1.33269] al_display=00FE70E0
d3d      D         d3d_disp.cpp:1791 d3d_create_display_locked        [   1.33287] al_display->vt=00FE64E0
dtor     D               dtor.c:196  _al_register_destructor          [   1.33321] added dtor for queue 01035260, func 7B2016FE
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.33341] opening mzahnd\res\displayBoard.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.33387] opening mzahnd\res\displayBoard.png rb
d3d      D         d3d_disp.cpp:1198 real_choose_bitmap_format        [   1.34415] Fake format
d3d      D         d3d_disp.cpp:1198 real_choose_bitmap_format        [   1.34437] Fake format
d3d      D         d3d_disp.cpp:1198 real_choose_bitmap_format        [   1.34453] Fake format
d3d      D         d3d_disp.cpp:1198 real_choose_bitmap_format        [   1.34471] Fake format
d3d      D         d3d_disp.cpp:1198 real_choose_bitmap_format        [   1.34490] Fake format
d3d      D         d3d_disp.cpp:1198 real_choose_bitmap_format        [   1.34510] Fake format
d3d      D         d3d_disp.cpp:1198 real_choose_bitmap_format        [   1.34527] Fake format
d3d      D         d3d_disp.cpp:1198 real_choose_bitmap_format        [   1.34546] Fake format
d3d      D         d3d_disp.cpp:1198 real_choose_bitmap_format        [   1.34563] Fake format
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   1.34581] Alpha doesn't match
d3d      D         d3d_disp.cpp:1213 real_choose_bitmap_format        [   1.34598] Adapter format is 23
d3d      D         d3d_disp.cpp:1216 real_choose_bitmap_format        [   1.34615] Found a format
d3d      I         d3d_disp.cpp:2387 d3d_create_bitmap                [   1.34636] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.34788] added dtor for bitmap 0104E9D0, func 7B2017C1
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.38014] opening mzahnd\res\AlphaSmart3000.ttf rb
font     D                ttf.c:942  al_load_ttf_font_stretch_f       [   1.38172] Font mzahnd\res\AlphaSmart3000.ttf loaded with pixel size 0 x 69.
font     D                ttf.c:944  al_load_ttf_font_stretch_f       [   1.38196]     ascent=51.0, descent=-15.0, height=75.0
dtor     D               dtor.c:196  _al_register_destructor          [   1.38217] added dtor for ttf_font 032D8E90, func 5D9C100F
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.39816] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.39845] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:196  _al_register_destructor          [   1.39941] added dtor for timer 0334F418, func 7B20195B
dtor     D               dtor.c:196  _al_register_destructor          [   1.39970] added dtor for timer 0334F850, func 7B20195B
d3d      D         d3d_disp.cpp:1198 real_choose_bitmap_format        [   1.90310] Fake format
d3d      D         d3d_disp.cpp:1198 real_choose_bitmap_format        [   1.90354] Fake format
d3d      D         d3d_disp.cpp:1198 real_choose_bitmap_format        [   1.90375] Fake format
d3d      D         d3d_disp.cpp:1198 real_choose_bitmap_format        [   1.90401] Fake format
d3d      D         d3d_disp.cpp:1198 real_choose_bitmap_format        [   1.90422] Fake format
d3d      D         d3d_disp.cpp:1198 real_choose_bitmap_format        [   1.90448] Fake format
d3d      D         d3d_disp.cpp:1198 real_choose_bitmap_format        [   1.90471] Fake format
d3d      D         d3d_disp.cpp:1198 real_choose_bitmap_format        [   1.90492] Fake format
d3d      D         d3d_disp.cpp:1198 real_choose_bitmap_format        [   1.90517] Fake format
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   1.90538] Alpha doesn't match
d3d      D         d3d_disp.cpp:1213 real_choose_bitmap_format        [   1.90559] Adapter format is 23
d3d      D         d3d_disp.cpp:1216 real_choose_bitmap_format        [   1.90580] Found a format
d3d      I         d3d_disp.cpp:2387 d3d_create_bitmap                [   1.90601] Chose bitmap format 9
font     D                ttf.c:242  alloc_glyph_region               [   1.90818] Glyph 68: 37x36 (40x36)
font     D                ttf.c:286  alloc_glyph_region               [   1.90853] Locking glyph region: 04B98BB0 0 0 40 36
font     D                ttf.c:166  unlock_current_page              [   1.91290] Unlocking page: 04B98BB0
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.92264] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.92294] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:242  alloc_glyph_region               [   2.40201] Glyph 19: 37x50 (40x52)
font     D                ttf.c:286  alloc_glyph_region               [   2.40235] Locking glyph region: 04B98BB0 40 0 40 52
font     D                ttf.c:166  unlock_current_page              [   2.40279] Unlocking page: 04B98BB0
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   2.41547] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   2.41614] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:242  alloc_glyph_region               [   2.45191] Glyph 86: 37x36 (40x36)
font     D                ttf.c:286  alloc_glyph_region               [   2.45218] Locking glyph region: 04B98BB0 80 0 40 36
font     D                ttf.c:166  unlock_current_page              [   2.45243] Unlocking page: 04B98BB0
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   2.46486] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   2.46512] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:242  alloc_glyph_region               [   2.50181] Glyph 71: 37x50 (40x52)
font     D                ttf.c:286  alloc_glyph_region               [   2.50204] Locking glyph region: 04B98BB0 120 0 40 52
font     D                ttf.c:166  unlock_current_page              [   2.50227] Unlocking page: 04B98BB0
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   2.52939] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   2.52970] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:242  alloc_glyph_region               [   2.73468] Glyph 73: 37x50 (40x52)
font     D                ttf.c:286  alloc_glyph_region               [   2.73490] Locking glyph region: 04B98BB0 160 0 40 52
font     D                ttf.c:166  unlock_current_page              [   2.73513] Unlocking page: 04B98BB0
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   2.75229] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   2.75256] _al_d3d_sync_bitmap (video) ref count == 1
